response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_2duJO8zk4AgeXgg	Low	I think that we had issues with calculating appropriately omega values for a survey study and then we wrote an erratum about it. We look at each others analysis and check it, so we have a lot of errors, but with these multiperson checks I believe that much less go into the manuscripts.	sometimes lack of knowledge, sometimes we are inattentive or tired	Low	Minor	both time loss and frustration, but the positive outcome is learning from these mistakes	There was a mediation analysis in which we had an error, it did not influence the main message of the paper, just the model we set up was not ok. The other was the omega, that I mentioned earlier. In this case as we used multiple measures of reliability, it was not that bad.	inattentiveness	Moderate	frustration, but we learnt from it and I think that making mistakes can be the source of learning in science and everywhere	social psychology	10
R_1qWnEsHwB47T5gC	Low	Use of uninformative variable names; no consistent file structure for different subprojects.	The PI (= I) had not introduced rules for naming variables and saving and documenting project data.	Moderate	Minor	frustration	In a study where results had to be annotated and coded, the coder made a number of seriour mistakes that were noticed too late.	1. Not enough information was given at the outset. 2. In such cases, two coders should always code independently and the dataset should then be searched for discrepancies. 3. Not enough control at the right moment.	Moderate	erroneous conclusion	experimental and cognitive psychology	18
R_3FPW5UUfKKmHIzM	Low	NA	NA	Very Low	NA	time loss	NA	NA	Minor	time loss	methodology and statistics	18
R_2zjVTdbw0kClOqk	Low	Failing to document precisely changes made to the dataset, making it difficult to reproduce/replicate analyses and results.	Lack of protocol, discipline, and experience.	Low	Minor	time loss	don't know	-	NA	NA	clinical psychology	18
R_T6OrGQxMHJekFCF	Low	the software overwrote the same variable so only the last value was recorded.	Inaccurate programming on our side.	Low	Minor	frustration	The software provided incorrect feedback to subjects in the experiment.	Inaccurate programming on our side. Not enough pre-testing of the software.	Moderate	financial loss	other	15
R_1CKGCablLVpWzNT	Low	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	LACK OF COMMUNICATION OR MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	Low	Major	INABILITY TO COMPLETE ANALYSIS OF LONGITUDINAL DATA	SEEMS TO BE THE SAME QUESTION AS ABOVE.  I LOVE IT WHEN THERE IS A MISTAKE IN A SURVEY ON MISTAKES!	SEE REPLY TO FIRST SUCH QUESTION	NA	NA	methodology and statistics	30
R_2yfG7EjmzWsyWxx	Low	Sorting variables or splitting the file and then not returning to the default; Not saving the cleaned and imputed data file used in specific analyses, and later having difficulties to reproduce the file used in the analyses	Lack of concentration, fatigue, not having a clear algorithm for handling the data	Moderate	Minor	time loss	Difficulty in locating/ matching the answers of some participants in longitudinal studies	Poor coding of personal data, spelling/ reading mistakes in paper-pencil data collections, etc.	Minor	time loss	developmental and educational psychology	10
R_1LNc6THhR7JwDJ5	Low	Losing code used to run analyses because of a system crash or using informative label names.	System crash (for losing code) and Lack of sufficient forethought on variable names	Low	Minor	frustration	Someone on my data team forgot to bring the surveys for the study for subjects to fill out (or forgot to ask subjects to fill them out) - so instead we had to email them to fill it out resulting in a reduction in the number of people who responded.	Lack of attention to detail.	Moderate	frustration	other	7
R_2WGQonc2eGviLKq	Low	Data entry/data copying error	human error	Low	Minor	time loss	Subject data files exported with wrong filter settings for calculating variable	Human error entering in wrong filter setting	Minor	time loss	experimental and cognitive psychology	15
R_3fuztQ0HcuQmyVK	Low	Same data came from different sources. Data processing software were developed 20+ years ago. Programmers do not know how apply new data processing algorithms to fix problems.	Get payed irrespective of results. Difficalt to adjust skils to 21th century technology	Very High	Moderate	All	Database contains unknown amount of duplicates	Data processing software was developed 20+ years ago	Moderate	All	methodology and statistics	35
R_qJHLDJdVTdBowI9	Very Low	Wrong entry in the dataset or incomplete/incorrect selection of the dataset	Despite reminders and invitations to do so, some people find double-checking a time-wasting and unnecessary practice	Low	Minor	time loss	Nothing really serious. Statistical analyses had to be re run three times after discovering that some entries were not correct	Insufficient care when working with databases - double checking skipped	Minor	time loss	experimental and cognitive psychology	28
R_3MxuXev3SJ36Py0	Very Low	having to re-do everything because of incorrect coding ( but not loss because we saved the original file)   not knowing while file was the correct one or if responses had already been coded   transferring only certain lines of data and the transfer only working for half the line	imprecise labelling software malfunction	Low	Minor	frustration and time loss	NA	NA	NA	NA	applied psychology	8
R_1rH1NztEvUbUmp0	Very Low	names or details of participants were mis-reported	multiple drafts and inaccurate transfer of data	Low	Moderate	time loss	same as above	same as above	Moderate	time loss	other	15
R_2WJC3PKuf5TvxjC	Very Low	I do not collect data and rarely handle real data. I cannot think of any such mistakes	NA	NA	NA	NA	NA	NA	NA	NA	methodology and statistics	14
R_Xp37cWl6slWgFWN	Moderate	lost of data, wrong data	human errors, carelessness	Low	Moderate	time loss	one small but serious mistake overlooked during data collection, which lead to half of the data unusable, had to collect data again	carelessness of the RAs	Moderate	time loss	other	12
R_22ms4BKg4b2PqVr	Low	NA	NA	Low	Insignificant	time loss	NA	NA	Minor	frustration	other	7
R_x8Z2fY3NuG06l69	Low	Incomplete data collection (survey missing some questions),	I’m not sure—more training needed for data collectors? More incentive to data collectors for getting completed data? Paid data collectors rather than program staff?	Moderate	Moderate	time loss	forgot to record qualitative interview	Forgetfulness	Moderate	time loss	other	11
R_YPHfNIaeRchw0PT	Low	The audio-recording device did not record properly and I only noticed that well into the session.	Human error - mismangement of recording device	Low	Minor	time loss	N/A	N/A	Insignificant	N/A	other	20
R_1HemYlCts4kwav2	Low	Wrong data input, wrong identifier for data file	mistake from person who recorded data	Low	Insignificant	time loss	a file was updated with an old version of a paradigm and we had to exclude the complete run from the analysis, because we just realized after recording	a masterstudent made the mistake	Moderate	smaller sample size	clinical psychology	10
R_2EBoQ5pteGRidTo	Low	It was an incomplete download of responses which led to an error in calculating derived variable scores. But the mistake was discovered through running descriptive statistics and could be corrected.	In the data download, only 6 points of a 7-point Likert Skale were recorded.	Low	Insignificant	time loss	"I'm not sure I understand the question: ""Could you write down the most serious data-related mistake that happened years in your team in the last 5 years?"""	Not sure if I'm supposed to report about another mistake here than the one described above.	NA	NA	other	16
R_0ibVXbAiuoWoMWR	Very Low	I don't use labs, so the most concerning issue for me is when people 'game' MTurk and it can be hard to tell if the data from one individual is used multiple times (they take the survey more than once).	Not catching these individuals.	Moderate	Moderate	financial loss, time loss, and frustration	None that I can think of.	NA	Insignificant	na	other	9
R_3EKM0va9ntRVGxm	Low	As I process data to reduce the number of variables, I can leave out a variable that I later realize I need. Also, if I have failed to document fully when I delete full observations.	Insufficient foresight.	Very Low	Moderate	time loss	Failure to document why some observations were deleted from full administrative data file.	Carelessness.	Moderate	erroneous conclusion	other	35
